,0
Java,124
Basics,47
Topics,1
in,47
this,9
section,2
include,3
What,1
makes,4
programs,8
portable,5
secure,2
and,61
robust,2
The,44
structure,2
of,63
applets,8
applications,8
How,2
are,52
executed,5
invoked,2
Language,1
Part,1
Comments,2
Declarations,2
Expressions,4
Statements,3
Garbage,4
collection,7
Semantics,2
Portability,2
across,1
operating,1
systems,1
hardware,2
environments,1
is,66
to,89
your,27
advantage,1
because,5
You,7
need,4
only,5
one,7
version,3
software,1
serve,1
broad,1
market,1
Internet,1
effect,4
becomes,1
giant,1
dynamic,1
library,4
no,9
longer,2
limited,1
by,21
particular,2
computer,1
platform,5
Three,1
features,2
make,9
String,11
language,14
completely,1
specified,1
all,7
datatype,1
sizes,1
formats,1
defined,3
as,25
part,1
the,119
By,2
contrast,3
CC,16
leaves,1
these,7
details,1
up,3
compiler,4
implementor,1
many,1
therefore,3
jGurucom,23
All,25
Rights,23
Reserved,23
not,28
class,29
available,2
on,17
any,8
machine,3
with,9
runtime,10
system,9
program,10
use,15
if,11
you,19
cannot,2
same,10
every,1
Windowmanager,1
function,3
calls,2
Mac,1
application,2
written,2
for,33
example,19
do,7
port,1
well,1
PC,1
byte,7
code,38
does,9
compile,1
source,5
directly,1
into,3
an,28
inflexible,1
nonportable,1
representation,1
Instead,1
translated,1
machineindependent,1
easily,3
interpreted,2
can,11
be,24
having,1
latest,1
versions,1
Netscape,1
Navigator,1
browser,11
run,1
virtually,1
Security,1
that,30
it,13
very,2
difficult,1
write,4
incorrect,1
or,22
viruses,1
corruptsteal,1
data,12
harm,1
such,7
hard,1
disks,1
There,2
two,8
main,4
lines,1
defense,1
Interpreter,1
level,2
No,7
pointer,10
arithmetic,3
Array,4
bounds,2
checking,2
illegal,1
conversions,1
Browser,1
applies,1
local,1
file,9
IO,2
Sockets,1
back,1
host,2
native,1
methods,10
Robustness,1
It,2
has,11
several,1
designed,1
avoid,1
crashes,1
during,2
execution,2
including,1
collectionno,1
bad,2
addresses,2
string,8
jumping,1
method,24
Interfaces,1
exceptions,1
Program,2
Structure,1
containing,2
considered,1
compilation,3
unit,2
Such,1
contains,2
set,2
classes,2
optionally,1
package,1
definition,4
group,1
related,1
together,1
Classes,1
contain,2
members,1
specify,2
state,2
behavior,2
objects,21
come,1
flavors,1
Standalone,1
have,9
initial,1
context,1
preexisting,1
window,2
Applets,2
WWW,4
programming,3
major,1
differences,1
between,3
allowed,1
sockets,1
other,4
than,3
Applications,1
restrictions,1
An,7
applet,24
must,4
subclass,2
Applet,7
Aplications,1
Unlike,2
menus,1
respond,1
predefined,5
lifecycle,2
